id,observed_on,time_observed_at,user_id,updated_at,quality_grade,description,place_guess,latitude,longitude,species_guess,scientific_name
8784794,10/30/17,2017-10-30 17:04:59 UTC,606759,2017-12-02 04:50:34 UTC,needs_id,,"Tahoe National Forest, Calpine, CA, US",39.60086412,-120.5162558,Rhizopogon,Rhizopogon
8790360,10/28/17,2017-10-28 21:41:20 UTC,609868,2017-11-13 05:02:47 UTC,needs_id,"Under needle pines. Yellowish white body. Bruises red slightly where handled, bruised, or cut. No blue marks where bruised. ","Tahoe National Forest, Truckee, CA, US",39.37588667,-120.177125,,Rhizopogon occidentalis
8791693,11/6/17,2017-11-06 21:16:37 UTC,609760,2017-11-13 16:09:36 UTC,needs_id,,"Tolman Hall, Berkeley, CA, US",37.87412167,-122.2642367,,Rhizopogon
8792027,10/28/17,2017-10-28 21:41:00 UTC,614840,2017-11-14 10:08:19 UTC,needs_id,,"Nevada County, CA, USA",39.37591111,-120.1772694,Rhizopogon salebrosus,Rhizopogon salebrosus
8852715,11/18/17,2017-11-18 17:24:35 UTC,170354,2018-11-02 15:26:37 UTC,needs_id,,"Soquel Demonstration State Forest, Santa Cruz County, US-CA, US",37.0841643,-121.8622646,Rhizopogon,Rhizopogon
8869889,10/22/17,2017-10-22 07:44:00 UTC,459334,2017-11-23 03:43:59 UTC,needs_id,Rhizopogon occidentalis underneath a lodgepole pine at the South Beach State park parking lot,"Newport, OR, USA",44.60063861,-124.0651649,Rhizopogon occidentalis,Rhizopogon occidentalis
8880659,11/19/17,2017-11-19 21:57:29 UTC,3494,2017-11-21 06:31:27 UTC,needs_id,,"Salt Point State Park, Cazadero, CA, US",38.57436667,-123.3088217,Rhizopogon,Rhizopogon
8967685,10/2/16,,691967,2017-11-28 20:14:24 UTC,needs_id,<p>Possible false truffle. Harder than puffball but softer than earthball. Thin white thread rhizomes extending from the base. Interior beige. Exterior sulfur yellow. Half buried in dry clay in ravine.</p>,"Two Creeks Buried Forest State Natural Area, Wisconsin, USA",44.3258,-87.5455,Rhizopogon roseolus,Rhizopogon roseolus
9017787,11/30/17,2017-11-30 22:29:06 UTC,258652,2017-12-02 17:33:50 UTC,needs_id,,"13294-13298 Marysville Rd, Camptonville, CA 95922, USA",39.41527939,-121.1208344,Rhizopogon,Rhizopogon
9046172,10/28/17,2017-10-28 18:22:00 UTC,611638,2017-12-05 01:31:13 UTC,needs_id,"Found on duff in conifer forest, very gooey with yellow-brown spore mass inside","Placer County, CA, USA",39.31520865,-120.2106643,Rhizopogon,Rhizopogon
9054761,12/4/17,2017-12-04 19:15:18 UTC,30502,2017-12-07 01:37:46 UTC,research,,"Mendocino County, US-CA, US",39.3356657,-123.7884883,Rhizopogon occidentalis,Rhizopogon occidentalis
9091772,12/8/17,2017-12-08 21:26:03 UTC,113704,2017-12-09 03:00:54 UTC,needs_id,,"Azalea State Reserve, McKinleyville, CA, US",40.91764343,-124.0813409,,Rhizopogon occidentalis
9176779,12/12/17,2017-12-12 23:19:54 UTC,113704,2017-12-17 14:23:07 UTC,research,,"Tenmile Creek Rd, North Bend, OR, US",43.57091027,-124.2082225,Rhizopogon occidentalis,Rhizopogon occidentalis
9181838,9/8/17,,242882,2017-12-28 05:34:35 UTC,research,<p>Found two side by side. Smell and taste not distinctive. Mixed Fir and Pine.</p>,"Wrights Lake Rd., El Dorado Co., California, USA",38.80375,-120.2375,Rhizopogon occidentalis,Rhizopogon occidentalis
9184239,7/7/11,,30468,2017-12-17 23:00:56 UTC,casual,"<p>Stalk was very sticky. Assumed to be growing on <a href=""http://mushroomobserver.org/observer/lookup_name/Rhizopogon""><i>Rhizopogon sp.</i></a></p>","Hamlin Park East Woods, Shoreline, Washington, USA",47.747,-122.306,Pterospora andromedea,Pterospora andromedea
9279321,12/27/17,2017-12-28 00:13:41 UTC,399598,2017-12-29 06:26:45 UTC,needs_id,,"San Luis Obispo County, US-CA, US",35.55963693,-121.0953578,Rhizopogon ochraceorubens,Rhizopogon ochraceorubens
9424496,1/9/18,2018-01-09 22:39:27 UTC,322150,2018-01-10 04:59:18 UTC,research,Under Torrey pine after heavy rain; coastal chaparral; radish/earthy scent when cut,"Birch Aquarium, San Diego, CA, US",32.86631167,-117.249655,Rhizopogon occidentalis,Rhizopogon occidentalis
9437480,1/7/18,2018-01-07 19:25:00 UTC,3494,2018-01-12 01:18:22 UTC,needs_id,,"Humboldt County, CA, USA",41.139775,-124.16175,Rhizopogon,Rhizopogon
9440464,10/27/16,2016-10-28 02:29:40 UTC,536954,2018-01-11 19:01:19 UTC,needs_id,,"Salt Point State Park, Cazadero, CA, US",38.57257645,-123.3146726,,Rhizopogon occidentalis
9443974,1/11/18,2018-01-11 18:06:48 UTC,24754,2018-01-12 02:34:18 UTC,needs_id,,"Fairfax - Bolinas Rd, Bolinas, CA 94924, USA",37.94117355,-122.6605606,Rhizopogon,Rhizopogon
9445802,1/11/18,2018-01-12 00:07:00 UTC,17695,2018-02-18 06:05:18 UTC,needs_id,,"Ukiah, CA 95482, USA",39.16189264,-123.224743,Rhizopogon,Rhizopogon
9445860,1/11/18,2018-01-11 23:40:00 UTC,17695,2018-02-18 06:10:41 UTC,research,,"Ukiah, CA 95482, USA",39.16189264,-123.224743,Rhizopogon occidentalis,Rhizopogon occidentalis
9461904,1/13/18,2018-01-13 18:27:09 UTC,19715,2018-01-13 22:47:37 UTC,needs_id,"Under Monterey pines, very tough and spongy.","17100 Castroville Blvd, Salinas, CA, US",36.80187167,-121.6776417,Rhizopogon,Rhizopogon
9479182,1/14/18,2018-01-14 23:57:00 UTC,2873,2018-01-15 05:17:28 UTC,research,,"Santa Cruz County, CA, USA",37.08943047,-122.0575261,Rhizopogon occidentalis,Rhizopogon occidentalis
9480145,1/14/18,2018-01-14 22:08:41 UTC,24754,2018-01-15 23:45:55 UTC,research,,"Santa Cruz, CA 95060, USA",37.04730988,-122.13134,Rhizopogon rubescens,Rhizopogon rubescens
9491640,1/15/18,2018-01-16 04:08:51 UTC,746583,2018-01-16 18:01:46 UTC,needs_id,,"Moraga, CA  94556, Moraga, CA, US",37.81759845,-122.1399222,Rhizopogon,Rhizopogon
9535571,1/19/18,2018-01-19 17:31:40 UTC,24754,2018-01-20 06:00:31 UTC,needs_id,Smelled like paint,"Rock Spring Trail, Mill Valley, CA 94941, USA",37.91346359,-122.6082077,Rhizopogon,Rhizopogon
9555182,1/20/18,2018-01-21 01:58:00 UTC,168642,2018-01-22 03:12:40 UTC,research,,"Santa Cruz County, CA, USA",37.09027778,-122.0597222,Rhizopogon occidentalis,Rhizopogon occidentalis
9572091,9/27/12,,239596,2018-05-06 04:58:09 UTC,research,,"Bonnechere Provincial Park, Ontario, Canada",45.64865,-77.5247,Rhizopogon rubescens,Rhizopogon rubescens
9590313,10/15/15,,239596,2018-05-11 05:02:13 UTC,needs_id,,"Beaver Creek State Park, East Liverpool, Ohio, USA",40.7156,-80.59575,Rhizopogon,Rhizopogon
9593090,11/30/16,,239596,2018-05-06 15:27:11 UTC,needs_id,,"Beaver Creek State Park, East Liverpool, Ohio, USA",40.7156,-80.59575,Rhizopogon,Rhizopogon
9595108,11/6/17,,239596,2018-05-06 03:32:23 UTC,needs_id,,"Beaver Creek State Park, East Liverpool, Ohio, USA",40.7156,-80.59575,Rhizopogon,Rhizopogon
9610303,1/23/18,2018-01-23 20:28:09 UTC,5179,2018-01-25 17:21:54 UTC,needs_id,,"652–1098 Martin Rd, Santa Cruz, CA, US",37.04861117,-122.1380528,Rhizopogon,Rhizopogon
9644094,1/27/18,2018-01-27 20:42:23 UTC,24754,2018-01-28 17:31:09 UTC,needs_id,,"Water Tank Road, Oakland, CA 94611, USA",37.84819412,-122.197876,Rhizopogon occidentalis,Rhizopogon occidentalis
10427759,3/25/18,2018-03-25 21:07:16 UTC,730243,2018-09-27 05:02:17 UTC,needs_id,,"Jessie M. Honeyman Memorial State Park, Florence, OR, US",43.928345,-124.1180417,Rhizopogon,Rhizopogon
10478018,11/14/15,2015-11-14 19:09:00 UTC,398340,2019-03-14 02:35:33 UTC,needs_id,,"Franklin Parker Preserve, Woodland, NJ, USA",39.80068917,-74.55270845,Rhizopogon,Rhizopogon
10528953,3/25/18,2018-03-25 20:50:00 UTC,300530,2018-11-23 04:24:42 UTC,needs_id,,"Lane County, OR, USA",43.92754211,-124.1131865,Rhizopogon,Rhizopogon occidentalis
10595501,3/25/18,2018-03-25 20:47:49 UTC,143544,2018-10-20 05:08:38 UTC,research,"In sand. At the edge of pine strand, near cystisus and beach grass","Jessie M. Honeyman Memorial State Park, Florence, OR, US",43.9287455,-124.1190391,Rhizopogon occidentalis,Rhizopogon occidentalis
10631607,10/3/10,,477643,2020-06-02 07:30:40 UTC,needs_id,<p>Under Pine</p>,"Cook Forest State Park, Pennsylvania, USA",41.3428,-79.2113,Rhizopogon,Rhizopogon
10747612,4/4/18,,394031,2018-04-27 01:38:45 UTC,needs_id,"<p>Partially exposed in duff under tree I can&#8217;t identify, but live oak in vicinity. Light yellow/white surface with dark orange/reddish splotches and darkening with handling. Yellow rhizomorphs that also darkened. Interior- sponge-like, uniform, olive/grey. NaOH- surface turned reddish color.</p>","Carmel Mountain Preserve, San Diego, California, USA",32.93985,-117.2135,Rhizopogon occidentalis,Rhizopogon occidentalis
11240923,4/20/18,2018-04-21 00:01:03 UTC,265595,2018-04-21 00:55:55 UTC,casual,"These small, superficially truffle-like mushrooms have been appearing in clusters under this landscaping pine for the past two months or so. They are white inside until they dry, in the time that I’ve watched them, none have ever developed gills or pores. ID is a pretty wild guess, but matches the associated tree. I’ve marked it as cultivated because it’s growing on a cultivated, introduced tree, and if my ID is correct may well have been deliberately introduced.","25310 Avenue Stanford, Santa Clarita, CA, US",34.433925,-118.5778717,,Rhizopogon luteolus
11295804,4/21/18,2018-04-21 21:58:11 UTC,540556,2019-01-07 22:23:11 UTC,needs_id,"near hazel, red cedar and lots of doug fir","Coyote Trail, Kirkland, WA 98033, USA",47.6548393,-122.1655524,Rhizopogon,Rhizopogon
12047600,12/22/17,,242882,2018-05-13 18:12:58 UTC,needs_id,<p>Discovered in ornamental landscaping near the Antique Mall. Mature and juvenile Pines nearby.</p>,"Sebastopol, Sonoma Co., California, USA",38.3985,-122.8275,Rhizopogon,Rhizopogon
12489799,3/12/18,2018-03-12 18:49:52 UTC,851163,2018-05-26 04:33:40 UTC,needs_id,In grass near pines,"36 Garner Dr, Novato, CA, US",38.08673715,-122.5798067,Rhizopogon,Rhizopogon
13078142,4/26/18,2018-04-26 19:30:05 UTC,493282,2019-02-07 00:47:00 UTC,needs_id,,"Cloverdale, OR 97112, USA",45.17092246,-123.96956,Rhizopogon fuscorubens,Rhizopogon
14291082,10/16/15,2015-10-16 18:59:00 UTC,5179,2018-07-12 16:44:31 UTC,needs_id,,"Breitenbush Hot Springs, Breitenbush, USA",44.78580283,-121.9772015,Rhizopogon,Rhizopogon
14327215,11/27/12,2012-11-27 13:27:00 UTC,5179,2018-07-13 23:15:19 UTC,needs_id,,"Quail Hollow Ranch, Santa Cruz County, CA, USA",37.08672602,-122.0607132,Rhizopogon,Rhizopogon
14639948,7/8/18,2018-07-08 17:39:19 UTC,705341,2019-01-12 17:00:21 UTC,needs_id,,"87876 Limpit Ln, Florence, OR, US",44.01435877,-124.1191134,,Rhizopogon
15087094,12/8/12,,5179,2020-06-14 05:54:12 UTC,research,,"""Marshall Fields, Upper Campus, UCSC, Santa Cruz Co., CA, USA""",37.01978579,-122.0755103,Rhizopogon parksii,Rhizopogon parksii
15788251,8/13/18,2018-08-13 23:41:00 UTC,5179,2019-02-06 01:38:22 UTC,needs_id,,United States,31.93130986,-109.3894849,Rhizopogon,Rhizopogon
